GeneSet,N_Genes,CPI,SE,t,p.value,q.value
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,116,0.465798776806122,0.0272001153710202,17.1248823930503,8.28594582781372e-31,1.7603549301687e-27
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,124,0.446110435742676,0.0262306845574962,17.0071976110584,1.3494480108614e-30,1.7603549301687e-27
BROWNE_HCMV_INFECTION_10HR_UP,71,0.430572279701324,0.0257755273037,16.7046933561478,4.76564490005738e-30,3.38921413155184e-27
BROCKE_APOPTOSIS_REVERSED_BY_IL6,102,0.491931853133391,0.0294851437064822,16.6840581830111,5.19618877968853e-30,3.38921413155184e-27
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM,114,0.427267939343159,0.0256957083184742,16.6279883802997,6.57461569326156e-30,3.43063446874388e-27
QI_HYPOXIA,103,0.430103261399027,0.0260111235532198,16.5353588251972,9.70655807364586e-30,4.22073500235701e-27
SERVITJA_LIVER_HNF1A_TARGETS_UP,106,0.460940076843169,0.027954688918017,16.4888286968592,1.18095925163098e-29,4.40160383929319e-27
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,326,0.445830924788657,0.027112953557071,16.4434658087033,1.43015522502339e-29,4.66409372760753e-27
DITTMER_PTHLH_TARGETS_UP,87,0.460627626034393,0.0284408626582021,16.1959794106861,4.08335409912847e-29,1.18371898273624e-26
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP,90,0.426712143518594,0.0264814834767931,16.1136042054646,5.79994358335517e-29,1.42612570611933e-26
KEGG_CALCIUM_SIGNALING_PATHWAY,130,0.455909442749429,0.0283437199980941,16.085024928982,6.55220224721361e-29,1.42612570611933e-26
ROME_INSULIN_TARGETS_IN_MUSCLE_DN,103,0.41387410472353,0.0257308108645669,16.0847672816041,6.55941298330085e-29,1.42612570611933e-26
CHANG_CYCLING_GENES,107,0.430088399372123,0.0268413847378334,16.0233312689679,8.52849649169954e-29,1.50085431617747e-26
SANSOM_APC_TARGETS,130,0.453222738302745,0.0282878123814611,16.0218376801655,8.58315067311704e-29,1.50085431617747e-26
VANLOO_SP3_TARGETS_DN,73,0.43790615705816,0.0273339515174766,16.0205946358753,8.62890561236569e-29,1.50085431617747e-26
ZHANG_TLX_TARGETS_36HR_UP,158,0.439001805471372,0.0276823573963808,15.858541206782,1.72863265673953e-28,2.8187516258959e-26
YAGI_AML_WITH_11Q23_REARRANGED,269,0.445650939245141,0.0282548445838215,15.7725496568584,2.50269589885804e-28,3.67076934652723e-26
BOYLAN_MULTIPLE_MYELOMA_C_D_UP,85,0.439167705685472,0.0278486560330394,15.7697989146926,2.53253538664202e-28,3.67076934652723e-26
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN,129,0.439425365182469,0.0279132920203372,15.7425130959942,2.84864134573783e-28,3.71893956167789e-26
REACTOME_MRNA_PROCESSING,104,0.414682534487513,0.0263418728355643,15.7423330177059,2.85085439760666e-28,3.71893956167789e-26
WIERENGA_STAT5A_TARGETS_GROUP1,90,0.433987973164919,0.02763885686791,15.7020956126734,3.39140174654701e-28,4.11372974696057e-26
SMITH_TERT_TARGETS_UP,110,0.44416371787651,0.0282963295657698,15.6968668619769,3.46884072185253e-28,4.11372974696057e-26
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP,96,0.463227809665368,0.0295555943092783,15.6731008288319,3.84388249365391e-28,4.36029975041002e-26
SHEPARD_CRUSH_AND_BURN_MUTANT_DN,130,0.433521406606985,0.027712739843261,15.6433975514119,4.37056804321306e-28,4.64631585349341e-26
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP,104,0.445603169509652,0.0284928560731197,15.6391190958928,4.45219993627195e-28,4.64631585349341e-26
MUNSHI_MULTIPLE_MYELOMA_UP,71,0.445541745293986,0.0285491629842281,15.6061228674243,5.13557955384929e-28,5.10911996221469e-26
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP,283,0.451298124016289,0.0289304832818933,15.5993980335179,5.28732230662309e-28,5.10911996221469e-26
KEEN_RESPONSE_TO_ROSIGLITAZONE_DN,88,0.439101779795189,0.0281709329962571,15.5870513714803,5.57777051731394e-28,5.19728688559717e-26
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_DN,103,0.452307120455509,0.0290959063343065,15.545386875342,6.68183727991648e-28,6.01134947010417e-26
BOSCO_ALLERGEN_INDUCED_TH2_ASSOCIATED_MODULE,99,0.430219529663899,0.0277037297460832,15.5292999753842,7.16482602040051e-28,6.23101036240831e-26
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_UP,189,0.488382028937869,0.0315387263149306,15.4851538410626,8.67871362092243e-28,7.29506736697108e-26
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR,107,0.474936614711105,0.0306945996866509,15.4729698239934,9.15061883407118e-28,7.29506736697108e-26
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,99,0.429373639974993,0.0277533561868967,15.4710528371237,9.22718371445173e-28,7.29506736697108e-26
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_WITH_H4K20ME1_MARK,104,0.434418117121277,0.0281012594665006,15.4590265834578,9.72245074486261e-28,7.4605511745137e-26
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,155,0.43913217088374,0.0284451209345245,15.4378732259407,1.06594371501113e-27,7.94584900704012e-26
SMIRNOV_RESPONSE_TO_IR_6HR_UP,116,0.451784934627895,0.0293025899104671,15.4179182116088,1.16265686137443e-27,8.4260326425719e-26
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_DN,35,0.454218851861778,0.0295419703670847,15.3753742968974,1.39938470380835e-27,9.70556860225242e-26
BENPORATH_PRC2_TARGETS,410,0.427286033923569,0.0278077336789886,15.3657266304454,1.45949479511321e-27,9.70556860225242e-26
MISSIAGLIA_REGULATED_BY_METHYLATION_UP,97,0.45257749187223,0.0294588456902053,15.363042280462,1.47667728741038e-27,9.70556860225242e-26
POOLA_INVASIVE_BREAST_CANCER_DN,109,0.449289086943234,0.0292481382245809,15.3612884175185,1.48801358409389e-27,9.70556860225242e-26
YOSHIMURA_MAPK8_TARGETS_DN,280,0.421373686431642,0.0274734582166426,15.3374825662241,1.65083923528128e-27,1.04427184271685e-25
KEGG_CELL_CYCLE,99,0.428753615566796,0.0279622120560607,15.3333225106512,1.68108154059439e-27,1.04427184271685e-25
LEE_LIVER_CANCER_ACOX1_DN,50,0.448916044594537,0.0293537886362895,15.293291443802,2.00217733249726e-27,1.21480945592682e-25
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3,44,0.418687485669236,0.0274118109320079,15.2739812304902,2.17847759720382e-27,1.2917381934329e-25
LAIHO_COLORECTAL_CANCER_SERRATED_UP,97,0.409510181067774,0.0268755939542565,15.2372513799985,2.55812621832347e-27,1.48314473413465e-25
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN,35,0.451032800964374,0.0297215205953042,15.1752935896434,3.3556602821437e-27,1.90324297306802e-25
KEGG_PATHWAYS_IN_CANCER,257,0.447189729802273,0.0294780710516237,15.1702507609514,3.43067542030795e-27,1.90438982374116e-25
MIKKELSEN_MEF_HCP_WITH_H3_UNMETHYLATED,118,0.481392577608467,0.0317706297382064,15.1521257707259,3.71450857708914e-27,1.97937798366003e-25
SENESE_HDAC2_TARGETS_DN,88,0.439056587180236,0.0289769176741385,15.1519423879955,3.717497937882e-27,1.97937798366003e-25
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,30,0.440018608806392,0.029091038351182,15.1255724699326,4.17357544409146e-27,2.17777166672693e-25
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP,116,0.437877056550199,0.0289667323601246,15.1165499479319,4.34222826240325e-27,2.22134775227649e-25
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4,74,0.426047215207463,0.0282055902216585,15.105062927572,4.56691353461025e-27,2.29136104073041e-25
VANTVEER_BREAST_CANCER_ESR1_UP,112,0.457031000706005,0.0302834046095629,15.0917971938229,4.84099368179168e-27,2.38304764448953e-25
ZHU_CMV_ALL_DN,102,0.428987737730682,0.0284622854671598,15.0721465507629,5.2777220549183e-27,2.54992163727441e-25
LI_INDUCED_T_TO_NATURAL_KILLER_UP,219,0.483221200422246,0.0321316187736186,15.0388065981596,6.11136875919544e-27,2.89901110777108e-25
BROWNE_HCMV_INFECTION_18HR_DN,132,0.418468937555245,0.0279575290008608,14.9680230159955,8.34759401475227e-27,3.88908442580155e-25
YOSHIMURA_MAPK8_TARGETS_UP,925,0.404645781103574,0.0270483129357059,14.9601116367376,8.64398787182661e-27,3.95193465821342e-25
KRIEG_KDM3A_TARGETS_NOT_HYPOXIA,138,0.439090013355282,0.0293586504980934,14.9560693664648,8.79949395631864e-27,3.95193465821342e-25
MORI_LARGE_PRE_BII_LYMPHOCYTE_DN,41,0.452137199519171,0.030238119986046,14.9525565652831,8.93691624509743e-27,3.95193465821342e-25
NING_CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE_DN,93,0.4193978989918,0.028084758312866,14.9332920839012,9.7298764574373e-27,4.23087461290899e-25
LEIN_ASTROCYTE_MARKERS,29,0.424810870488899,0.0285109521479984,14.8999187499504,1.12749178404601e-26,4.8223378107804e-25
WANG_CISPLATIN_RESPONSE_AND_XPC_DN,155,0.440117150507294,0.0295792366544391,14.8792599230665,1.23527770524899e-26,5.16738753670744e-25
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_CIS,97,0.453441395047998,0.0304793932977924,14.8769823145016,1.24777851595465e-26,5.16738753670744e-25
KEGG_MELANOMA,53,0.45714922009134,0.030811291302953,14.8370678656862,1.48873240429743e-26,6.06891069189373e-25
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION,89,0.453378784149605,0.0306475088725384,14.7933323401647,1.80690232298738e-26,7.25262793949859e-25
CAIRO_LIVER_DEVELOPMENT_DN,180,0.413114138195598,0.0280104191502979,14.7485882299339,2.20342731458422e-26,8.71021494507609e-25
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,39,0.460074434258315,0.0312408138564761,14.7267109100278,2.42810280645351e-26,9.34245425503894e-25
KEGG_TYPE_I_DIABETES_MELLITUS,36,0.438657832589276,0.0297878337241367,14.7260736262885,2.43498232787523e-26,9.34245425503894e-25
BAKKER_FOXO3_TARGETS_UP,40,0.468500508125156,0.0319122594486211,14.680894308955,2.97619304204328e-26,1.11591456264581e-24
TSUNODA_CISPLATIN_RESISTANCE_DN,38,0.418609839862697,0.0285165293401548,14.6795507570146,2.9940214405982e-26,1.11591456264581e-24
LINDGREN_BLADDER_CANCER_CLUSTER_1_UP,88,0.446343246625565,0.0304134244236859,14.6758628823775,3.04351235065524e-26,1.11838362293796e-24
IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR,94,0.436125592135962,0.0297488888470313,14.6602313242192,3.26259302999009e-26,1.18223683545058e-24
CAIRO_HEPATOBLASTOMA_CLASSES_DN,146,0.450548256862786,0.0307397249989096,14.6568733740711,3.31168876789229e-26,1.18358849252479e-24
WIERENGA_STAT5A_TARGETS_UP,142,0.473378169796693,0.0323470345135492,14.6343606737245,3.66060796279612e-26,1.28893094599427e-24
KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP,103,0.415815639638895,0.0284189402814453,14.6316377571046,3.70524419124454e-26,1.28893094599427e-24
PID_ERBB1_INTERNALIZATION_PATHWAY,33,0.426763114223649,0.0292349109612412,14.5977223870953,4.30934274284588e-26,1.46303940464997e-24
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN,112,0.403298365230977,0.0276313246621678,14.5956942043812,4.34846115191303e-26,1.46303940464997e-24
KIM_WT1_TARGETS_12HR_DN,150,0.466172196803222,0.031941895514505,14.5943811190395,4.37397752252577e-26,1.46303940464997e-24
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP,275,0.420521644179123,0.0289086533823715,14.5465663383531,5.4133410537193e-26,1.78777301381692e-24
KEGG_HUNTINGTONS_DISEASE,144,0.444654379831852,0.0305912937975077,14.535324421881,5.69183018970306e-26,1.85624812061691e-24
MCBRYAN_PUBERTAL_BREAST_6_7WK_UP,147,0.43670075288486,0.0301308818649522,14.493460723857,6.86185663038198e-26,2.2101955492181e-24
